"","precision","recall","f1","accuracy"
"AGupta_coauthor",0.655619311436486,0.405197187404463,0.500850243736538,0.921603656003324
"AGupta_paper",0.255343432247354,0.150473861204525,0.189358673489016,0.874942133064277
"AGupta_journal",0.160571577484364,0.226047080403546,0.187765052439117,0.810166775476289
"AKumar_coauthor",0.233239962651727,0.196941028066856,0.213559032230486,0.689705187883694
"AKumar_paper",0.353690228690229,0.214601072216966,0.267124631992149,0.748094177966673
"AKumar_journal",0.246615905245347,0.643487858719647,0.356574923547401,0.503204479525062
"CChen_coauthor",0.405975546753918,0.296578185935338,0.342759523117185,0.943845243677854
"CChen_paper",0.272183151279366,0.114416907787143,0.161108896860192,0.941171355546377
"CChen_journal",0.125405497695066,0.0924015599446471,0.106403013182674,0.923373384720018
"DJohnson_coauthor",0.815301724137931,0.603959342238306,0.693895020023845,0.851720767681554
"DJohnson_paper",0.438698431144683,0.200894045021553,0.275587677033144,0.706107096315602
"DJohnson_journal",0.313144147959904,0.236070459262413,0.269199259641351,0.643333135884374
"JLee_coauthor",0.593108875274015,0.43461427571152,0.501640123603518,0.979219157308382
"JLee_paper",0.260168471720818,0.133572222908687,0.176518615284128,0.970009217868789
"JLee_journal",0.143288226696214,0.125169899913505,0.133617657404151,0.960938042045376
"JMartin_coauthor",0.48952380952381,0.422697368421053,0.453662842012357,0.900418275418275
"JMartin_paper",0.170894526034713,0.210526315789474,0.188651436993368,0.822876447876448
"JMartin_journal",0.176410777834265,0.570723684210526,0.269514563106796,0.697393822393822
"JRobinson_coauthor",0.342203898050975,0.435383881735813,0.383210912906611,0.8024600080656
"JRobinson_paper",0.244611365120836,0.357176919408679,0.290366350067843,0.753931980104853
"JRobinson_journal",0.290409725348942,0.30758226037196,0.298749421028254,0.796478021239414
"JSmith_coauthor",0.864830923793188,0.601474128198027,0.709502330665528,0.946246233679277
"JSmith_paper",0.350755527278511,0.234880599876446,0.281354461711194,0.869048283301715
"JSmith_journal",0.194956227723519,0.385680506145751,0.258994349474287,0.759141464866272
"KTanaka_coauthor",0.663784633523286,0.373383442024981,0.477928692699491,0.815051499887226
"KTanaka_paper",0.526241634378302,0.330275229357798,0.405840407470289,0.780743302508583
"KTanaka_journal",0.294666869640229,0.641870233226484,0.403909021353551,0.570458361526702
"MBrown_coauthor",0.386304909560723,0.551321450522434,0.45429222587997,0.814671482628139
"MBrown_paper",0.380635624538064,0.316533497234173,0.345637583892617,0.832301341589267
"MBrown_journal",0.163894191437142,0.36939151813153,0.227049489988666,0.648090815273478
"MJones_coauthor",0.590424271154302,0.528987046081971,0.558019713261649,0.882803682803683
"MJones_paper",0.238932829654114,0.429815247398598,0.307132018209408,0.728779328779329
"MJones_journal",0.211887382690302,0.431514121894245,0.284215679418141,0.696020196020196
"MMiller_coauthor",0.887604659628686,0.663469387755102,0.759342883836811,0.853967354073654
"MMiller_paper",0.542090471092077,0.55108843537415,0.546552422075293,0.682469940708195
"MMiller_journal",0.398603070058958,0.510510204081633,0.447669042860978,0.562563484751848
"SLee_coauthor",0.627799025857278,0.456262472678894,0.528459199537719,0.968214118114048
"SLee_paper",0.300126179174428,0.118668630618645,0.170085979398996,0.954792320119898
"SLee_journal",0.299953502134675,0.168583103677658,0.215851191653105,0.952184380929769
"YChen_coauthor",0.666655526219043,0.391363208287553,0.493194377480251,0.948722919897934
"YChen_paper",0.301158889905459,0.116249411395385,0.16774723252456,0.92646220043028
"YChen_journal",0.188119716700937,0.0807761732851986,0.113022113022113,0.919173712913394
